eval/mean_reward,model/parameters,eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/extractor_type,eval/best_seq_prediction_mse,rollout/success_rate,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,eval/seq_prediction_mse,time/fps,train/loss,train/std,train/policy_gradient_loss,train/clip_range_vf,train/value_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range,train/learning_rate
-248.4091796875,,0.0,1180000,175.8,,,,,,,,,,-0.0022380296140909195,0.740818202495575,0.0004218811722239479,0.3,0.06779074422083795,0.0029549662,0.026043701171875,360,-4.256815433502197,0.48588883876800537,0.17640704000000001,7.7586688e-05
-242.0639190673828,,0.0,1200000,148.4,,,,,,,,1.105675083398819,,,,,,,,,,,,,
,,,1212416,,,,0.0,203.92,37,-255.85220336914062,3500,1.1058541238307953,346,,,,,,,,,,,,
-245.1645965576172,,0.0,1220000,173.6,,,,,,,,,,0.002884460613131523,0.740818202495575,6.61333862808533e-05,0.3,0.06228970033116639,0.0028134114,0.030352783203125,370,-4.256815433502197,0.4769550561904907,0.17575168000000002,7.6964096e-05
-253.8885040283203,,0.0,1240000,197.1,,,,,,,,1.1303877115249634,,,,,,,,,,,,,
,,,1245184,,,,0.0,201.67,38,-254.53302001953125,3598,1.0550702571868897,346,,,,,,,,,,,,
-235.4726104736328,,0.0,1260000,147.8,,,,,,,,,,-0.005908116698265076,0.740818202495575,-0.00012062736495863647,0.3,0.061921323742717506,0.002578945,0.02418212890625,380,-4.256815433502197,0.528120756149292,0.17509632,7.6341504e-05
,,,1277952,,,,0.0,227.84,39,-268.04949951171875,3671,1.1566964387893677,348,,,,,,,,,,,,
-270.4776916503906,,0.0,1280000,192.5,,,,,,,,,,-0.006742129102349281,0.740818202495575,3.763878048630431e-05,0.3,0.062388745183125136,0.003005799,0.0384246826171875,390,-4.256815433502197,0.5315181314945221,0.17444096,7.5718912e-05
-230.6147003173828,,0.0,1300000,127.4,,,,,,,,1.102366328239441,,,,,,,,,,,,,
,,,1310720,,,,0.0,198.62,40,-255.3638916015625,3769,0.9904172480106354,347,,,,,,,,,,,,
-257.48919677734375,,0.0,1320000,218.2,,,,,,,,,,-0.0062194522470235825,0.740818202495575,7.730562356300652e-05,0.3,0.055400682333856824,0.0026035586,0.0236572265625,400,-4.256815433502197,0.5409621298313141,0.1737856,7.509632000000001e-05
-240.97280883789062,,0.0,1340000,170.1,,,,,,,,1.24307222366333,,,,,,,,,,,,,
,,,1343488,,,,0.0,205.6,41,-259.8055725097656,3867,1.1532380044460298,347,,,,,,,,,,,,
-264.8879089355469,,0.0,1360000,220.9,,,,,,,,,,-0.0059229787439107895,0.740818202495575,5.278203170746565e-05,0.3,0.056571090361103415,0.0029378622,0.03292236328125,410,-4.256815433502197,0.5480447113513947,0.17313024000000002,7.447372800000001e-05
,,,1376256,,,,0.0,188.33,42,-253.53733825683594,3941,1.0290650486946107,349,,,,,,,,,,,,
-262.40423583984375,,0.0,1380000,186.1,,,,,,,,,,-0.0007239691913127899,0.740818202495575,-0.0003027617414772976,0.3,0.0584300781134516,0.0024990786,0.0315704345703125,420,-4.256815433502197,0.5512298345565796,0.17247488,7.3851136e-05
-256.01470947265625,,0.0,1400000,201.1,,,,,,,,1.0425284564495088,,,,,,,,,,,,,
,,,1409024,,,,0.02,171.77,43,-243.0506591796875,4044,1.012582039833069,348,,,,,,,,,,,,
-230.69668579101562,,0.0,1420000,123.4,,,,,,,,,,-0.0027566440403461456,0.740818202495575,-0.0002989468950545415,0.3,0.05935624809935689,0.0029723258,0.033465576171875,430,-4.256815433502197,0.5592398345470428,0.17181952,7.3228544e-05
-234.0467987060547,,0.0,1440000,127.6,,,,,,,,1.1968715608119964,,,,,,,,,,,,,
,,,1441792,,,,0.02,190.25,44,-251.59988403320312,4132,1.0925673842430115,348,,,,,,,,,,,,
-257.32916259765625,,0.0,1460000,182.7,,,,,,,,,,-0.0030039269477128983,0.740818202495575,0.0005062485011876561,0.3,0.06251231478527189,0.0030536307,0.0439300537109375,440,-4.256815433502197,0.517446368932724,0.17116416,7.2605952e-05
,,,1474560,,,,0.0,181.51,45,-252.4304656982422,4203,1.2142272472381592,350,,,,,,,,,,,,
-248.2434844970703,,0.0,1480000,162.4,,,,,,,,,,-0.004827943630516529,0.740818202495575,-0.00012110596871934831,0.3,0.057728466624394056,0.0029286128,0.0410247802734375,450,-4.256815433502197,0.5733793079853058,0.17050880000000002,7.198335999999999e-05
-236.31698608398438,,0.0,1500000,161.6,,,,,,,,1.2459704995155334,,,,,,,,,,,,,
,,,1507328,,,,0.0,190.0,46,-252.37738037109375,4298,1.0749799251556396,350,,,,,,,,,,,,
-249.3299560546875,,0.0,1520000,206.4,,,,,,,,,,-0.0063131432980299,0.740818202495575,-0.0004211277278955095,0.3,0.05545954848639667,0.0036825496,0.0370819091796875,460,-4.256815433502197,0.49988049268722534,0.16985344000000002,7.1360768e-05
-219.5169677734375,,0.0,1540000,116.1,,,,,,,,0.9847702801227569,,,,,,,,,,,,,
,,,1540096,,,,0.0,217.63,47,-263.2115478515625,4396,1.0291184842586518,350,,,,,,,,,,,,
-234.9188995361328,,0.0,1560000,143.1,,,,,,,,,,-0.0011017080396413803,0.740818202495575,0.00016242322308244184,0.3,0.06018773689866066,0.0023880685,0.0288726806640625,470,-4.256815433502197,0.5013033449649811,0.16919808000000003,7.073817600000001e-05
,,,1572864,,,,0.01,171.43,48,-243.18284606933594,4467,1.0434935212135314,352,,,,,,,,,,,,
-256.5603942871094,,0.0,1580000,184.5,,,,,,,,,,-0.0015287045389413834,0.740818202495575,-0.00012996468285564333,0.3,0.06197932157665491,0.002033364,0.0236572265625,480,-4.256815433502197,0.4873653054237366,0.16854272,7.0115584e-05
-233.37338256835938,,0.0,1600000,168.1,,,,,,,,1.009581333398819,,,,,,,,,,,,,
,,,1605632,,,,0.0,176.55,49,-248.0000457763672,4565,1.1314869463443755,351,,,,,,,,,,,,
